FileName,L1,L2,L3,L4,L5,L6,D1,D2,D3,D4,D5,D6,DA1,DA2,DA3,DA4,DA5,DA6,zfs,E/D
984,Cc1ccc(N(N)C(O)c2ccccn2)cc1,Cc1ccc(N(N)C(O)c2ccccn2)cc1,Cc1ccc(N(N)C(O)c2ccccn2)cc1,X,X,X,2,2,2,0,0,0,O,O,O,N,N,N,45.49064954,0.129091797
985,NCS,NCS,CC(C)(C)N(O)c1ccncc1,CC(C)(C)N(O)c1ccncc1,CC(C)(C)N(O)c1ccncc1,CC(C)(C)N(O)c1ccncc1,1,1,1,1,1,1,N,N,N,N,N,N,102.0271617,0.14386766
987,CC(NO)C(C)NO,c1ccncc1,CC(NO)C(C)NO,c1ccncc1,X,X,2,1,2,1,0,0,N,N,N,N,N,N,0.002675,0.000214
988,CCOC(N)c1ccc(N)cn1,CCOC(N)c1ccc(N)cn1,CCOC(N)c1ccc(N)cn1,X,X,X,2,2,2,0,0,0,N,N,N,N,N,N,51.83416743,0.108883125
989,c1ccc(NNc2ccc3ccc4ccc(NNc5ccccc5)nc4c3n2)cc1,c1ccc(NNc2ccc3ccc4ccc(NNc5ccccc5)nc4c3n2)cc1,X,X,X,X,3,3,0,0,0,0,N,N,N,N,N,N,9.919586,0.000433
990,Oc1cc(O)c(C(O)O)c(O)c1,O,O,Oc1cc(O)c(C(O)O)c(O)c1,O,O,1,1,1,1,1,1,O,O,O,O,O,O,90.80825,0.117168
991,Cl,Cl,CC(NO)C(C)NCCNC(C)C(C)NO,X,X,X,1,1,4,0,0,0,Cl,Cl,N,N,N,N,26.316001,0.21767
992,CC(NO)C(C)NCCNC(C)C(C)NO,Cl,Cl,X,X,X,4,1,1,0,0,0,N,N,N,N,Cl,Cl,27.356102,0.22922
994,OS(O)(O)CCNCc1ccccn1,OS(O)(O)CCNCc1ccccn1,X,X,X,X,3,3,0,0,0,0,O,N,N,O,N,N,82.468969,0.219729
995,CC(C)(C)c1ccc(C(C)(C)C)c(O)c1O,Cc1cccc(CN(Cc2ccccn2)Cc2cccc(C)n2)n1,X,X,X,X,2,4,0,0,0,0,O,O,N,N,N,N,97.135902,0.145469
996,CC(C)(C)c1cc(Nc2ccccc2S)c(O)c(C(C)(C)C)c1,CC(C)(C)c1cc(Nc2ccccc2S)c(O)c(C(C)(C)C)c1,X,X,X,X,3,3,0,0,0,0,S,S,O,O,N,N,37.50427754,0.148076017
997,O,OC(O)c1ccccc1N(O)O,c1ccncc1,O,OC(O)c1ccccc1N(O)O,c1ccncc1,1,1,1,1,1,1,O,O,N,O,O,N,110.56162,0.2809
998,c1cnn(Cn2cccn2)c1,c1cnn(Cn2cccn2)c1,NNN,NNN,X,X,2,2,1,1,0,0,N,N,N,N,N,N,85.170887,0.32857
999,CC1(C)N=C(C(Cl)C(O)C(F)(F)F)C(C)(C)N1O,CO,CC1(C)N=C(C(Cl)C(O)C(F)(F)F)C(C)(C)N1O,CO,X,X,2,1,2,1,0,0,O,N,O,O,N,O,3.828280983,0.139520398
1000,COC(O)c1cc(-c2cn(-c3ccccn3)nn2)nc(-c2cn(-c3ccccn3)nn2)c1,COC(O)c1cc(-c2cn(-c3ccccn3)nn2)nc(-c2cn(-c3ccccn3)nn2)c1,X,X,X,X,3,3,0,0,0,0,N,N,N,N,N,N,-61.109162,0.26458
1001,CC(NNC(O)c1ccccc1)c1ccc(-c2ccccn2)s1,C[SH](C)O,CC(NNC(O)c1ccccc1)c1ccc(-c2ccccn2)s1,C[SH](C)O,X,X,2,1,2,1,0,0,O,O,N,O,O,N,-5.716756102,0.182576485
1002,CS(O)(O)O,O,O,CS(O)(O)O,O,O,1,1,1,1,1,1,O,O,O,O,O,O,106.064597,0.279595
1003,COC(O)c1cc(-n2cccn2)nc(-n2cccn2)c1,COC(O)c1cc(-n2cccn2)nc(-n2cccn2)c1,X,X,X,X,3,3,0,0,0,0,N,N,N,N,N,N,-91.38149,0.192889
1004,NCC(C1=NCCC1)C1=NCCC1,NCC(C1=NCCC1)C1=NCCC1,CC(O)O,X,X,X,2,2,2,0,0,0,N,N,N,N,O,O,79.503325,0.236826
1005,CC(CCCCCCC(NO)C(C)NO)CCCCCCC(NO)C(C)NO,c1ccncc1,X,X,X,X,5,1,0,0,0,0,N,N,N,N,N,C,0.000844,0.014555
1006,CC(NO)C(C)NO,Cn1ccnc1,CC(NO)C(C)NO,O,X,X,2,1,2,1,0,0,N,N,N,N,N,O,7.871136322,0.165685652
1007,OS(O)(c1ccccc1)N(Cc1ccccn1)C1CCCCC1NCc1ccccn1,CCN,CCN,X,X,X,4,1,1,0,0,0,N,N,N,N,N,C,95.358719,0.237315
1008,COC1OC(COCc2ccccn2)C(OCc2ccccn2)C1OCc1ccccn1,X,X,X,X,X,6,0,0,0,0,0,O,O,O,N,N,N,-46.346749,0.256551
